Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit,CAP_EST_ 2024,CAP_NOTES,RESERVES_2024,RESERVE_NOTES
China,Export,282520,Lithium oxide and hydroxide,2024,World,2221132.4,1.21E+08,Kg,,,1800000,
Chile,Export,282520,Lithium oxide and hydroxide,2024,World,196655.27,2.11E+07,Kg,,,4000000,
United States,Export,282520,Lithium oxide and hydroxide,2024,World,169300.55,8.75E+06,Kg,,,7000000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 4.8 million tons."
"Korea, Rep.",Export,282520,Lithium oxide and hydroxide,2024,World,48081.71,3.48E+06,Kg,,,390000,
Netherlands,Export,282520,Lithium oxide and hydroxide,2024,World,43189.16,3.24E+06,Kg,,,1200000,
Australia,Export,282520,Lithium oxide and hydroxide,2024,World,36187.93,2.25E+06,Kg,,,9300000,
Japan,Export,282520,Lithium oxide and hydroxide,2024,World,31216.49,2.41E+06,Kg,,,3000000,
European Union,Export,282520,Lithium oxide and hydroxide,2024,World,22696.71,1.88E+06,Kg,,,14000,
United Kingdom,Export,282520,Lithium oxide and hydroxide,2024,World,5737.54,401702,Kg,,,60000,
France,Export,282520,Lithium oxide and hydroxide,2024,World,5578.94,303381,Kg,,,480000,
Brazil,Export,282520,Lithium oxide and hydroxide,2024,World,4537.89,6.22E+06,Kg,,,2800000,"Other countries with reported reserves include Austria, Congo (Kinshasa), Czechia, Finland, Germany, Ghana, Mali, Mexico, Serbia, and Spain."
Nigeria,Export,282520,Lithium oxide and hydroxide,2024,World,2463.32,8.60E+06,Kg,,,30000000,
India,Export,282520,Lithium oxide and hydroxide,2024,World,2126.69,120736,Kg,,,,
Belgium,Export,282520,Lithium oxide and hydroxide,2024,World,1829.56,170676,Kg,,,,
Switzerland,Export,282520,Lithium oxide and hydroxide,2024,World,1715.61,408224,Kg,,,,
Poland,Export,282520,Lithium oxide and hydroxide,2024,World,1623.04,93021,Kg,,,,
Romania,Export,282520,Lithium oxide and hydroxide,2024,World,1004.12,774,Kg,,,,
Estonia,Export,282520,Lithium oxide and hydroxide,2024,World,270.35,16000.4,Kg,,,,
Spain,Export,282520,Lithium oxide and hydroxide,2024,World,224.56,16416,Kg,,,,
Sweden,Export,282520,Lithium oxide and hydroxide,2024,World,213.48,13184.4,Kg,,,,
South Africa,Export,282520,Lithium oxide and hydroxide,2024,World,163.1,143792,Kg,,,,
Turkey,Export,282520,Lithium oxide and hydroxide,2024,World,128.34,6582,Kg,,,,
Singapore,Export,282520,Lithium oxide and hydroxide,2024,World,122.95,2015.2,Kg,,,,
Italy,Export,282520,Lithium oxide and hydroxide,2024,World,105.68,6225,Kg,,,,
Portugal,Export,282520,Lithium oxide and hydroxide,2024,World,97.43,299,Kg,,,,
Czech Republic,Export,282520,Lithium oxide and hydroxide,2024,World,86.01,1450,Kg,,,,
Croatia,Export,282520,Lithium oxide and hydroxide,2024,World,73.65,4200,Kg,,,,
"Other Asia, nes",Export,282520,Lithium oxide and hydroxide,2024,World,56.54,3816,Kg,,,,
Thailand,Export,282520,Lithium oxide and hydroxide,2024,World,54.67,703,Kg,,,,
Indonesia,Export,282520,Lithium oxide and hydroxide,2024,World,50.64,11250.3,Kg,,,,
"Hong Kong, China",Export,282520,Lithium oxide and hydroxide,2024,World,28.85,158,Kg,,,,
Malaysia,Export,282520,Lithium oxide and hydroxide,2024,World,11.37,3995.55,Kg,,,,
Malta,Export,282520,Lithium oxide and hydroxide,2024,World,5.09,5,Kg,,,,
Brunei,Export,282520,Lithium oxide and hydroxide,2024,World,4.97,950,Kg,,,,
Canada,Export,282520,Lithium oxide and hydroxide,2024,World,3.5,5,Kg,,,,
Guyana,Export,282520,Lithium oxide and hydroxide,2024,World,2.81,50,Kg,,,,
Austria,Export,282520,Lithium oxide and hydroxide,2024,World,2.79,79.936,Kg,,,,
Norway,Export,282520,Lithium oxide and hydroxide,2024,World,2.5,55,Kg,,,,
Kenya,Export,282520,Lithium oxide and hydroxide,2024,World,1.86,20,Kg,,,,
Slovenia,Export,282520,Lithium oxide and hydroxide,2024,World,0.76,3.12,Kg,,,,
Finland,Export,282520,Lithium oxide and hydroxide,2024,World,0.76,6.008,Kg,,,,
Latvia,Export,282520,Lithium oxide and hydroxide,2024,World,0.4,45,Kg,,,,
Denmark,Export,282520,Lithium oxide and hydroxide,2024,World,0.13,32,Kg,,,,
Trinidad and Tobago,Export,282520,Lithium oxide and hydroxide,2024,World,0.04,6,Kg,,,,
Zimbabwe,Export,282520,Lithium oxide and hydroxide,2024,World,0.01,100,Kg,,,,
